State,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
TN,"43,716","43,361","42,995","42,279","38,591","40,517","39,702","41,195","40,693","39,406","38,072","37,523","37,030","35,783","34,096","36,522","34,091","30,636","30,790","29,015","28,639","25,102","24,318","24,453","22,592"
TX,"53,875","51,406","51,926","49,047","47,266","47,475","46,490","46,053","43,307","41,422","41,397","39,271","40,149","40,860","38,609","38,688","35,783","35,075","33,072","32,039","30,755","28,727","27,953","27,733","28,228"
UT,"63,383","61,047","58,341","55,493","56,701","58,491","62,537","53,529","54,628","54,813","50,871","49,275","47,861","47,342","47,550","46,050","44,299","42,775","37,038","36,480","35,716","35,786","34,251","28,016","30,142"
VT,"60,708","65,513","55,582","51,862","55,928","52,318","50,706","47,390","51,981","50,704","47,329","43,261","42,999","40,794","39,594","41,584","39,372","35,053","32,358","33,824","35,802","31,065","32,755","29,155","31,098"
VA,"66,155","65,907","64,632","62,616","60,367","60,501","61,985","59,161","57,119","51,914","51,141","54,783","49,631","50,241","47,163","45,693","43,354","42,957","39,211","36,222","37,647","36,433","38,198","36,137","35,073"
WA,"59,068","63,922","62,187","56,850","56,163","60,392","56,631","58,080","54,723","50,646","49,922","47,508","45,183","42,490","42,525","45,473","47,421","44,562","36,676","35,568","33,533","35,655","33,900","33,970","32,112"
WV,"39,552","43,069","43,553","41,821","42,777","40,490","37,994","42,091","38,419","36,445","33,373","32,763","29,359","29,673","29,411","29,297","26,704","27,488","25,247","24,880","23,564","22,421","20,271","23,147","22,137"
WI,"58,080","51,726","53,079","52,058","50,351","51,237","51,200","51,277","51,692","44,650","45,732","46,269","45,903","45,346","45,088","45,667","41,327","39,595","40,001","40,955","35,388","31,766","33,308","31,133","30,711"
WY,"55,690","67,441","57,512","54,509","52,201","52,470","53,337","48,744","47,041","44,718","45,397","42,555","39,763","39,719","39,629","37,248","35,250","33,423","30,953","31,529","33,140","29,442","30,209","29,050","29,460"
,,,,,,,,,,,,,,,,,,,,,,,,,
